File,RelFile,Line,Column_1,Column_2,Identifier,Message
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,959,1,13,NASGU,"Value assigned to variable might be unused."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,1133,24,30,DATST,"'datestr' is not recommended. With appropriate code changes, use 'datetime' instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,1133,32,34,TNOW1,"'now' is not recommended. With appropriate code changes, use 'datetime(""now"")' instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,1166,40,46,INUSD,"Input argument might be unused. Consider replacing the argument with ~ instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,1247,14,17,ASGLU,"Value assigned to variable might be unused. Consider replacing the variable with ~ instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,1487,22,31,INUSD,"Input argument might be unused. Consider replacing the argument with ~ instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,1487,34,44,INUSD,"Input argument might be unused. Consider replacing the argument with ~ instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,1493,26,35,INUSD,"Input argument might be unused. Consider replacing the argument with ~ instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,1493,38,48,INUSD,"Input argument might be unused. Consider replacing the argument with ~ instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,1504,23,32,INUSD,"Input argument might be unused. Consider replacing the argument with ~ instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,1504,35,45,INUSD,"Input argument might be unused. Consider replacing the argument with ~ instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,1520,57,66,INUSD,"Input argument might be unused. Consider replacing the argument with ~ instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,1557,13,19,DATST,"'datestr' is not recommended. With appropriate code changes, use 'datetime' instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,1557,21,23,TNOW1,"'now' is not recommended. With appropriate code changes, use 'datetime(""now"")' instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,1717,24,30,DATST,"'datestr' is not recommended. With appropriate code changes, use 'datetime' instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,1717,32,34,TNOW1,"'now' is not recommended. With appropriate code changes, use 'datetime(""now"")' instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,1821,1,12,NASGU,"Value assigned to variable might be unused."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,1927,48,54,DATST,"'datestr' is not recommended. With appropriate code changes, use 'datetime' instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,1927,56,58,TNOW1,"'now' is not recommended. With appropriate code changes, use 'datetime(""now"")' instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,2309,36,36,COMNL,"Newline following comma acts as a row separator. Replace the comma with a semicolon to make the row separation clearer. Alternatively, use an ellipsis (...) to continue the current row on the next line."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,2310,30,30,COMNL,"Newline following comma acts as a row separator. Replace the comma with a semicolon to make the row separation clearer. Alternatively, use an ellipsis (...) to continue the current row on the next line."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,2311,54,54,COMNL,"Newline following comma acts as a row separator. Replace the comma with a semicolon to make the row separation clearer. Alternatively, use an ellipsis (...) to continue the current row on the next line."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,2312,45,45,COMNL,"Newline following comma acts as a row separator. Replace the comma with a semicolon to make the row separation clearer. Alternatively, use an ellipsis (...) to continue the current row on the next line."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,2313,37,37,COMNL,"Newline following comma acts as a row separator. Replace the comma with a semicolon to make the row separation clearer. Alternatively, use an ellipsis (...) to continue the current row on the next line."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,2574,79,79,COMNL,"Newline following comma acts as a row separator. Replace the comma with a semicolon to make the row separation clearer. Alternatively, use an ellipsis (...) to continue the current row on the next line."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,2575,65,65,COMNL,"Newline following comma acts as a row separator. Replace the comma with a semicolon to make the row separation clearer. Alternatively, use an ellipsis (...) to continue the current row on the next line."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,2576,69,69,COMNL,"Newline following comma acts as a row separator. Replace the comma with a semicolon to make the row separation clearer. Alternatively, use an ellipsis (...) to continue the current row on the next line."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,2577,71,71,COMNL,"Newline following comma acts as a row separator. Replace the comma with a semicolon to make the row separation clearer. Alternatively, use an ellipsis (...) to continue the current row on the next line."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,2578,67,67,COMNL,"Newline following comma acts as a row separator. Replace the comma with a semicolon to make the row separation clearer. Alternatively, use an ellipsis (...) to continue the current row on the next line."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,2610,9,17,AGROW,"Variable appears to change size on every loop iteration. Consider preallocating for speed."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,2611,9,18,AGROW,"Variable appears to change size on every loop iteration. Consider preallocating for speed."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,2612,9,20,AGROW,"Variable appears to change size on every loop iteration. Consider preallocating for speed."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,2645,1,7,NASGU,"Value assigned to variable might be unused."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,2670,29,31,INUSD,"Input argument might be unused. Consider replacing the argument with ~ instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,2818,34,36,INUSD,"Input argument might be unused. Consider replacing the argument with ~ instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,2818,39,41,INUSD,"Input argument might be unused. Consider replacing the argument with ~ instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,2831,35,37,INUSD,"Input argument might be unused. Consider replacing the argument with ~ instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,2831,40,42,INUSD,"Input argument might be unused. Consider replacing the argument with ~ instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,2844,40,42,INUSD,"Input argument might be unused. Consider replacing the argument with ~ instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,2856,28,30,INUSD,"Input argument might be unused. Consider replacing the argument with ~ instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,2856,33,35,INUSD,"Input argument might be unused. Consider replacing the argument with ~ instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,2912,29,31,INUSD,"Input argument might be unused. Consider replacing the argument with ~ instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,2912,34,36,INUSD,"Input argument might be unused. Consider replacing the argument with ~ instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,2963,39,41,INUSD,"Input argument might be unused. Consider replacing the argument with ~ instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,2963,44,46,INUSD,"Input argument might be unused. Consider replacing the argument with ~ instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,3010,24,26,INUSD,"Input argument might be unused. Consider replacing the argument with ~ instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,3010,29,31,INUSD,"Input argument might be unused. Consider replacing the argument with ~ instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,3040,34,36,INUSD,"Input argument might be unused. Consider replacing the argument with ~ instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,3040,39,41,INUSD,"Input argument might be unused. Consider replacing the argument with ~ instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,3062,36,38,INUSD,"Input argument might be unused. Consider replacing the argument with ~ instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,3062,41,43,INUSD,"Input argument might be unused. Consider replacing the argument with ~ instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,3083,23,25,INUSD,"Input argument might be unused. Consider replacing the argument with ~ instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,3083,28,30,INUSD,"Input argument might be unused. Consider replacing the argument with ~ instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,3108,23,25,INUSD,"Input argument might be unused. Consider replacing the argument with ~ instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,3108,28,30,INUSD,"Input argument might be unused. Consider replacing the argument with ~ instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,3133,29,31,INUSD,"Input argument might be unused. Consider replacing the argument with ~ instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,3133,34,36,INUSD,"Input argument might be unused. Consider replacing the argument with ~ instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,3148,9,21,AGROW,"Variable appears to change size on every loop iteration. Consider preallocating for speed."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,3160,22,24,INUSD,"Input argument might be unused. Consider replacing the argument with ~ instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,3160,27,29,INUSD,"Input argument might be unused. Consider replacing the argument with ~ instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,3166,30,32,INUSD,"Input argument might be unused. Consider replacing the argument with ~ instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,3166,35,37,INUSD,"Input argument might be unused. Consider replacing the argument with ~ instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,3179,16,16,COMNL,"Newline following comma acts as a row separator. Replace the comma with a semicolon to make the row separation clearer. Alternatively, use an ellipsis (...) to continue the current row on the next line."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,3180,12,12,COMNL,"Newline following comma acts as a row separator. Replace the comma with a semicolon to make the row separation clearer. Alternatively, use an ellipsis (...) to continue the current row on the next line."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,3181,31,31,COMNL,"Newline following comma acts as a row separator. Replace the comma with a semicolon to make the row separation clearer. Alternatively, use an ellipsis (...) to continue the current row on the next line."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,3192,17,31,AGROW,"Variable appears to change size on every loop iteration. Consider preallocating for speed."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,3193,17,30,AGROW,"Variable appears to change size on every loop iteration. Consider preallocating for speed."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,3198,17,31,AGROW,"Variable appears to change size on every loop iteration. Consider preallocating for speed."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,3199,17,30,AGROW,"Variable appears to change size on every loop iteration. Consider preallocating for speed."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,3239,1,7,NASGU,"Value assigned to variable might be unused."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,3475,21,28,NASGU,"Value assigned to variable might be unused."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,3662,13,44,XFRWSP,"The 'TransferBaseWorkspaceVariables' option is not recommended for 'parsim'. With appropriate code changes, consider using project startup scripts or the 'SetupFcn' option instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,3792,41,47,DATST,"'datestr' is not recommended. With appropriate code changes, use 'datetime' instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,3792,49,51,TNOW1,"'now' is not recommended. With appropriate code changes, use 'datetime(""now"")' instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,4025,41,47,DATST,"'datestr' is not recommended. With appropriate code changes, use 'datetime' instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,4025,49,51,TNOW1,"'now' is not recommended. With appropriate code changes, use 'datetime(""now"")' instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,4060,22,44,DEFNU,"Function might be unused."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,4111,52,58,INUSD,"Input argument might be unused. Consider replacing the argument with ~ instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,4193,65,70,INUSD,"Input argument might be unused. Consider replacing the argument with ~ instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,4310,18,28,ASGLU,"Value assigned to variable might be unused. Consider replacing the variable with ~ instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,4380,17,23,DATST,"'datestr' is not recommended. With appropriate code changes, use 'datetime' instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,4380,25,27,TNOW1,"'now' is not recommended. With appropriate code changes, use 'datetime(""now"")' instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,4733,8,13,ISMT,"Using ISEMPTY is usually faster than comparing LENGTH to 0."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,5031,24,30,INUSD,"Input argument might be unused. Consider replacing the argument with ~ instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,5034,17,23,DATST,"'datestr' is not recommended. With appropriate code changes, use 'datetime' instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,5034,25,27,TNOW1,"'now' is not recommended. With appropriate code changes, use 'datetime(""now"")' instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,5129,29,46,AGROW,"Variable appears to change size on every loop iteration. Consider preallocating for speed."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,5279,17,23,DATST,"'datestr' is not recommended. With appropriate code changes, use 'datetime' instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,5279,25,27,TNOW1,"'now' is not recommended. With appropriate code changes, use 'datetime(""now"")' instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,5311,44,50,DATST,"'datestr' is not recommended. With appropriate code changes, use 'datetime' instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Dataset_GUI.m,Dataset_GUI.m,5311,52,54,TNOW1,"'now' is not recommended. With appropriate code changes, use 'datetime(""now"")' instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\cleanup_matlab_path.m,cleanup_matlab_path.m,32,4,9,ISMT,"Using ISEMPTY is usually faster than comparing LENGTH to 0."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\exportCodeIssues.m,exportCodeIssues.m,38,1,8,NASGU,"Value assigned to variable might be unused."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\exportCodeIssues.m,exportCodeIssues.m,71,50,64,MSNE,"No Code Analyzer check is found for this check ID."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\exportCodeIssues.m,exportCodeIssues.m,77,21,44,STRQUOT,"string('...') is not recommended. Use ""..."" instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\exportCodeIssues.m,exportCodeIssues.m,221,43,53,MSNU,"A Code Analyzer message was once suppressed here, but the message is no longer generated."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\exportCodeIssues.m,exportCodeIssues.m,286,51,61,MSNU,"A Code Analyzer message was once suppressed here, but the message is no longer generated."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\exportCodeIssues.m,exportCodeIssues.m,291,51,61,MSNU,"A Code Analyzer message was once suppressed here, but the message is no longer generated."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\exportCodeIssuesSimple.m,exportCodeIssuesSimple.m,48,17,25,AGROW,"Variable appears to change size on every loop iteration. Consider preallocating for speed."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Backup_Scripts\Data_GUI_TenThousandDataSet.m,Data_GUI_TenThousandDataSet.m,45,10,17,FNDEF,"Function name 'Data_GUI' is known to MATLAB by its file name: 'Data_GUI_TenThousandDataSet'."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Backup_Scripts\Data_GUI_TenThousandDataSet.m,Data_GUI_TenThousandDataSet.m,280,5,16,NASGU,"Value assigned to variable might be unused."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Backup_Scripts\Data_GUI_TenThousandDataSet.m,Data_GUI_TenThousandDataSet.m,380,84,90,DATST,"'datestr' is not recommended. With appropriate code changes, use 'datetime' instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Backup_Scripts\Data_GUI_TenThousandDataSet.m,Data_GUI_TenThousandDataSet.m,380,92,94,TNOW1,"'now' is not recommended. With appropriate code changes, use 'datetime(""now"")' instead."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Backup_Scripts\Data_GUI_TenThousandDataSet.m,Data_GUI_TenThousandDataSet.m,781,40,40,COMNL,"Newline following comma acts as a row separator. Replace the comma with a semicolon to make the row separation clearer. Alternatively, use an ellipsis (...) to continue the current row on the next line."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Backup_Scripts\Data_GUI_TenThousandDataSet.m,Data_GUI_TenThousandDataSet.m,782,34,34,COMNL,"Newline following comma acts as a row separator. Replace the comma with a semicolon to make the row separation clearer. Alternatively, use an ellipsis (...) to continue the current row on the next line."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Backup_Scripts\Data_GUI_TenThousandDataSet.m,Data_GUI_TenThousandDataSet.m,783,58,58,COMNL,"Newline following comma acts as a row separator. Replace the comma with a semicolon to make the row separation clearer. Alternatively, use an ellipsis (...) to continue the current row on the next line."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Backup_Scripts\Data_GUI_TenThousandDataSet.m,Data_GUI_TenThousandDataSet.m,784,49,49,COMNL,"Newline following comma acts as a row separator. Replace the comma with a semicolon to make the row separation clearer. Alternatively, use an ellipsis (...) to continue the current row on the next line."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Backup_Scripts\Data_GUI_TenThousandDataSet.m,Data_GUI_TenThousandDataSet.m,785,41,41,COMNL,"Newline following comma acts as a row separator. Replace the comma with a semicolon to make the row separation clearer. Alternatively, use an ellipsis (...) to continue the current row on the next line."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Backup_Scripts\Data_GUI_TenThousandDataSet.m,Data_GUI_TenThousandDataSet.m,801,20,38,DEFNU,"Function might be unused."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Backup_Scripts\Data_GUI_TenThousandDataSet.m,Data_GUI_TenThousandDataSet.m,1026,20,36,DEFNU,"Function might be unused."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Backup_Scripts\Data_GUI_TenThousandDataSet.m,Data_GUI_TenThousandDataSet.m,1041,5,16,NASGU,"Value assigned to variable might be unused."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Backup_Scripts\Data_GUI_TenThousandDataSet.m,Data_GUI_TenThousandDataSet.m,1063,20,43,DEFNU,"Function might be unused."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Backup_Scripts\Data_GUI_TenThousandDataSet.m,Data_GUI_TenThousandDataSet.m,1240,80,80,COMNL,"Newline following comma acts as a row separator. Replace the comma with a semicolon to make the row separation clearer. Alternatively, use an ellipsis (...) to continue the current row on the next line."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Backup_Scripts\Data_GUI_TenThousandDataSet.m,Data_GUI_TenThousandDataSet.m,1241,67,67,COMNL,"Newline following comma acts as a row separator. Replace the comma with a semicolon to make the row separation clearer. Alternatively, use an ellipsis (...) to continue the current row on the next line."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Backup_Scripts\Data_GUI_TenThousandDataSet.m,Data_GUI_TenThousandDataSet.m,1242,71,71,COMNL,"Newline following comma acts as a row separator. Replace the comma with a semicolon to make the row separation clearer. Alternatively, use an ellipsis (...) to continue the current row on the next line."
C:\Users\diete\Repositories\Golf_Model\matlab\Scripts\Dataset Generator\Backup_Scripts\Data_GUI_TenThousandDataSet.m,Data_GUI_TenThousandDataSet.m,1243,73,73,COMNL,"Newline following comma acts as a row separator. Replace the comma with a semicolon to make the row separation clearer. Alternatively, use an ellipsis (...) to continue the current row on the next line."
